"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000103970.2",3.02829748538484,4.52494333742131,0.591772421186838,7.64642483396952,2.0664416364222e-14,1.42935606550571e-12
"ENSMUSG00000038615.18",29.9508144805225,-2.61428786502719,0.342148322330397,-7.64080281680496,2.15871448599189e-14,1.4902704390137e-12
"ENSMUSG00000047867.12",65.7821134532819,-2.60188067226654,0.340921694829049,-7.63190114249321,2.3131679392607e-14,1.59379071145754e-12
"ENSMUSG00002075095.1",8.17446606468492,-2.73738863303848,0.358953333460322,-7.62602928533904,2.4209485706332e-14,1.66481346852378e-12
"ENSMUSG00000046490.8",26.1992586804839,-3.6606594881172,0.48056346336651,-7.61743196720167,2.58772217127923e-14,1.77605001348554e-12
"ENSMUSG00000110510.2",24.3194924744843,-3.57732519858345,0.470943578152667,-7.59608021966442,3.05235352114923e-14,2.0908916818472e-12
"ENSMUSG00000030786.19",50.5685009878666,-2.03663089236173,0.268321864356053,-7.59025321044727,3.19280942542057e-14,2.18288312357663e-12
"ENSMUSG00000077265.3",101.156238305926,1.91451192080562,0.252292188575619,7.5884708583904,3.23702748389999e-14,2.20885025707742e-12
"ENSMUSG00000091844.3",1145.79391724443,1.34749341435535,0.177581878572973,7.58801193671136,3.24850994758615e-14,2.2124226883416e-12
"ENSMUSG00000041734.16",141.188350639205,-2.35916305280349,0.311087668264807,-7.58359553743319,3.3610783945838e-14,2.28469465151987e-12
"ENSMUSG00000019936.11",94.0101411924494,-2.28070827450366,0.300979655822118,-7.5776160627002,3.51962120377701e-14,2.38788093739009e-12
"ENSMUSG00000051528.5",2.5388083836552,-4.3500668420381,0.574788999698741,-7.56811080991122,3.78690909588883e-14,2.56430947669031e-12
"ENSMUSG00000063931.15",21.0440136254685,-3.09215708174651,0.409022897107144,-7.55986303851471,4.0349399653117e-14,2.72704959678461e-12
"ENSMUSG00000028937.15",22.5027926844779,-3.03041515786064,0.401002324358993,-7.55710122804098,4.12151211288899e-14,2.78025431386597e-12
"ENSMUSG00000017978.19",23.1662698878642,-3.07404835179627,0.407191984788446,-7.54938325564872,4.37324198252463e-14,2.94445560477395e-12
"ENSMUSG00000112560.2",2.12347974426545,-4.07013961119026,0.539442059654725,-7.5450913371408,4.51970622700066e-14,3.03729404230035e-12
"ENSMUSG00000118421.2",31.4235080944018,3.91424934793553,0.519119442546325,7.54017096477027,4.69355715599167e-14,3.14815012650464e-12
"ENSMUSG00000116801.2",91.5636179684915,-2.51653387685625,0.333857238660206,-7.53775442148654,4.78133177793514e-14,3.20096152959495e-12
"ENSMUSG00000116183.2",50.7467042064741,2.71521020646088,0.36060696097846,7.5295557220901,5.09132556795563e-14,3.40206216960658e-12
"ENSMUSG00000092241.2",6.96546519444986,-2.81251289363459,0.373794764336224,-7.52421692858375,5.30372250292087e-14,3.53731322864299e-12
"ENSMUSG00000008450.9",25.8056158630147,-3.51474780871146,0.467403553350379,-7.51972847343056,5.48901182850197e-14,3.65401041177438e-12
"ENSMUSG00000077648.3",1.97329919142637,4.29415435494136,0.571494537158352,7.51390271601409,5.73902387769913e-14,3.81327449584831e-12
"ENSMUSG00000022864.15",738.248356276432,-1.89661533170125,0.252510908441134,-7.51102335899042,5.86669219993478e-14,3.89080345057472e-12
"ENSMUSG00000113772.2",35.3773011804708,-2.42869141426375,0.32350137116666,-7.50751505474312,6.0260256449332e-14,3.98900370495905e-12
